% Model:              SPAD_guard ring_polygate_type3_curve.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 4 2024, 20:29
% Dimension:          2
% Nodes:              2398
% Expressions:        2
% Description:        Streamline
% X                       Y                        Streamline               Shockley–Read–Hall recombination term
0.0581239634936357        2.033190804780461        0                        -1.9059016304726534E14
0.058203905271273865      2.0374766171725116       0                        -1.9163826632110294E14
0.05833109588860204       2.044330940389948        0                        -1.933145049027482E14
0.05848490520452859       2.0526619672924706       0                        -1.953518758684287E14
0.05849621254364341       2.053250347463974        0                        -1.9551521147591272E14
0.05852651369832769       2.0546619904866383       0                        -1.9590713470886456E14
0.05860569613757956       2.0578487017018543       0                        -1.967920445171182E14
0.05873041279486448       2.0622562793829973       0                        -1.9801620398287728E14
0.05891820690878383       2.068354705574243        0                        -1.997102101206423E14
0.058923092410714605      2.0685090249308358       0                        -1.9977540953260744E14
0.05898198923909285       2.0704998479745473       0                        -2.0061683859622256E14
0.05905584274213417       2.073316223030554        0                        -2.0180790792731162E14
0.05915086861748478       2.0773021126307682       0                        -2.034942947780248E14
0.05927587232794474       2.0829447924814324       0                        -2.058823733316957E14
0.059443328136082545      2.090934563395688        0                        -2.0926450429034253E14
0.05967090772237504       2.1022493424105453       0                        -2.1405486145676975E14
0.059693469027023535      2.103351247245857        0                        -2.1597760368654184E14
0.059755691991547864      2.1061426227624698       0                        -2.2085123495697088E14
0.059849989741922724      2.110032808563823        0                        -2.2764766381275272E14
0.059989024559877355      2.115455384243091        0                        -2.3712561038364606E14
0.06019045516552033       2.123015016389167        0                        -2.503431796200079E14
0.06020438787769901       2.123537237929409        0                        -2.5626521060560112E14
0.06028545117068754       2.126821862864486        0                        -2.93549602095466E14
0.06038633868088453       2.131453038424711        0                        -3.461934391151705E14
0.06051518481576707       2.1379847805527863       0                        -4.205162329178537E14
0.06068347076202128       2.1471990491269364       0                        -5.254375902857885E14
0.060696352871420375      2.1479535636612646       0                        -1.3582566653237018E15
0.06075011735916243       2.151598630962755        0                        -5.377320688159515E15
0.06080775809581567       2.156580292073032        0                        -1.0862088672801098E16
0.060870700215831824      2.163387330059731        0                        -1.8348562234050268E16
0.06094089001361518       2.1726872731997178       0                        -2.8568755750281656E16
0.06097238096414559       2.1786161962685577       0                        -1.14764748129698714E18
0.0609951410845679        2.1881710528424825       0                        -2.9545003534001516E18
0.060996807789253274      2.1903629943664495       0                        -1.2148988975665642E20
0.06099842228541575       2.19756175828276         0                        -5.106876201177751E20
0.0609942028895715        2.2065045452251595       0                        -9.94020868783299E20
0.06098272969828074       2.2176138482626073       0                        -1.5942939891638151E21
0.06097370699389272       2.2252522302870745       0                        -2.4979406934385303E21
0.06097056635616044       2.2282283375234906       0                        -3.0103973134209133E21
0.06096184812943376       2.2370606262374273       0                        -4.531235481168576E21
0.06095287772253541       2.247081891446517        0                        -6.256810874722197E21
0.06094362140957434       2.2584521891904026       0                        -8.214684536310146E21
0.06094342281129748       2.258708682747634        0                        -8.252949016260192E21
0.06094257269329139       2.2597867569290657       0                        -8.362661978815685E21
0.06093803311882056       2.2650398501875753       0                        -8.89430662261752E21
0.06092610266935179       2.2765630262515204       0                        -1.0060525359445964E22
0.06091010653965866       2.289384635305975        0                        -1.1358159278989495E22
0.0609008022573406        2.296362591268895        0                        -1.218749642040422E22
0.06088894809364629       2.3056221508201573       0                        -1.339445057018981E22
0.060874993109683126      2.317245904537011        0                        -1.4909564846339816E22
0.06086932540406499       2.322085845868326        0                        -1.5693746155313317E22
0.06085917953489432       2.330524225891373        0                        -1.706095554842017E22
0.06085760003506489       2.3318162223673284       0                        -1.729064312265974E22
0.06084471237820981       2.342295096005583        0                        -1.9153548998792706E22
0.06084068297785128       2.345468149638689        0                        -1.985072192153331E22
0.06083025267625804       2.3530331991215707       0                        -2.151288426883263E22
0.060818225619737674      2.3609119471528617       0                        -2.3243963459102254E22
0.06081204297750776       2.3647428172815372       0                        -2.4167420670925597E22
0.0608052951114441        2.368880803667547        0                        -2.5383770005695663E22
0.060793958052713         2.3758127321769784       0                        -2.7421390418902644E22
0.06077867989256846       2.3852702183331425       0                        -3.0162680637197543E22
0.0607730504710913        2.3887443233540164       0                        -3.140021596012633E22
0.06076231098774977       2.395221421046291        0                        -3.388589167952748E22
0.06074683069383025       2.4044315888504517       0                        -3.7420423973483795E22
0.060737576080475336      2.409328861898637        0                        -3.9717545120591155E22
0.060723238984362264      2.4155031503054136       0                        -4.261364037655233E22
0.06070558718370715       2.42190973011447         0                        -4.581999711800174E22
0.06070172367268952       2.4231916385862458       0                        -4.660483901380661E22
0.06068418046233637       2.428470220716413        0                        -4.983661280999149E22
0.06066363553704247       2.433856704588722        0                        -5.313443075554042E22
0.06064981274507168       2.437185482050357        0                        -5.513801371994673E22
0.06064311347171137       2.4387772311128364       0                        -5.630719240025066E22
0.06062086100990602       2.4441217075915618       0                        -6.044970809902722E22
0.06059165547080425       2.4511583143005224       0                        -6.5903794283239185E22
0.06059099863269281       2.4513166917279423       0                        -6.603769341358223E22
0.060574226512998756      2.4552610598483846       0                        -6.937244668980564E22
0.0605564373212728        2.4592563731979737       0                        -7.275029812791474E22
0.06054137990630325       2.4625204292899303       0                        -7.5559945516423E22
0.06053487816672852       2.463899062674357        0                        -7.697386972840063E22
0.06051887196436049       2.467194690358027        0                        -8.035387351261656E22
0.06049399672382373       2.472078203080473        0                        -8.537222424299717E22
0.06048940352698674       2.472954931888478        0                        -8.640242762120528E22
0.06047195049006897       2.4762650560556008       0                        -9.029200353000629E22
